BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6399,16, ,B3,147 BAY 14TH STREET, ,11214,2, -   ,2,"3,792","1,178",1930,1,B3,"1,100,000",12/1/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6399,21, ,B2,131 BAY14TH STREET, ,11214,2, -   ,2,"2,167","2,104",1925,1,B2,"950,000",3/21/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6401,31, ,B9,40 RUTHERFORD PLACE, ,11214,2, -   ,2,"2,344","3,100",1965,1,B9,"1,450,000",2/13/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6405,34, ,B1,8726 19TH   AVENUE, ,11214,2, -   ,2,"1,320","2,160",1920,1,B1,"1,050,000",6/21/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6405,37, ,B1,8732 19TH   AVENUE, ,11214,2, -   ,2,"4,180","1,136",1899,1,B1,"1,398,000",11/10/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6406,23, ,B9,1900 BENSON AVENUE, ,11214,2, -   ,2,"5,201","1,446",1899,1,B9,"2,000,000",5/16/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6406,115, ,B2,N/A 19TH   AVENUE, ,11214,2, -   ,2,"4,320","1,459",1935,1,B2, -   ,5/16/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6408,16, ,B2,121 BAY 23RD STREET, ,11214,2, -   ,2,"5,730","2,392",1899,1,B2,"1,625,000",11/22/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6408,18, ,B2,115 BAY 23RD STREET, ,11214,2, -   ,2,"3,192","1,944",1899,1,B2,"900,000",12/7/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6408,22, ,B9,107 BAY 23RD   STREET, ,11214,2, -   ,2,"1,974","2,520",1940,1,B9,"990,000",4/11/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6424,30, ,B9,8797 14TH   AVENUE, ,11228,2, -   ,2,"2,425","3,601",1935,1,B9,"1,300,000",6/13/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6425,50, ,B1,186 BAY 8TH   STREET, ,11228,2, -   ,2,"2,900","2,360",1930,1,B1, -   ,3/23/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6426,36, ,B1,179 BAY 8TH   STREET, ,11228,2, -   ,2,"1,933","2,055",1955,1,B1,"1,120,000",11/13/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6430,29, ,B9,8791 16TH AVENUE, ,11214,2, -   ,2,"2,000","2,614",1965,1,B9, -   ,10/31/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,8, ,B1,1659 CROPSEY AVENUE, ,11214,2, -   ,2,"1,916","1,762",1960,1,B1, -   ,3/28/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,9, ,B1,1657 CROPSEY AVENUE, ,11214,2, -   ,2,"1,916","1,762",1960,1,B1,"1,135,000",2/16/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,18, ,B9,211 BAY 14TH   STREET, ,11214,2, -   ,2,"2,268","1,668",1950,1,B9, -   ,8/8/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,54, ,B1,8808 17TH   AVENUE, ,11214,2, -   ,2,"2,203","2,144",1925,1,B1, -   ,12/7/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6432,138, ,S2,1660 BATH AVENUE, ,11214,2,1,3,"1,883","3,960",1925,1,S2, -   ,3/30/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6433,16, ,B1,8813 17TH AVENUE, ,11214,2, -   ,2,"2,127","2,000",1901,1,B1,"988,000",8/30/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6433,34, ,S2,1708 BATH AVENUE, ,11214,2,1,3,"1,933","3,816",1920,1,S2, -   ,10/12/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6434,2, ,B3,1749 CROPSEY AVENUE, ,11214,2, -   ,2,"1,524","1,740",1930,1,B3,"970,000",9/6/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6438,44, ,B9,8788 19TH   AVENUE, ,11214,2, -   ,2,"1,937","2,620",1965,1,B9,"1,180,000",6/29/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6440,31, ,S2,1932 BATH AVENUE, ,11214,2,1,3,"2,175","4,400",1920,1,S2,"1,545,000",12/1/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6440,33, ,S2,1936 BATH AVENUE, ,11214,2,1,3,"2,015","2,740",1910,1,S2, -   ,6/20/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6442,18, ,B3,8785 20TH   AVENUE, ,11214,2, -   ,2,"3,867","2,514",1920,1,B3, -   ,2/24/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6445,1, ,B1,2121 CROPSEY AVENUE, ,11214,2, -   ,2,"2,925","2,406",1925,1,B1, -   ,11/2/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6447,16, ,B1,201 BAY 29TH   STREET, ,11214,2, -   ,2,"1,933","1,976",1945,1,B1,10,4/24/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6459,19, ,B9,307 BAY 8TH STREET, ,11228,2, -   ,2,"1,442","1,640",1925,1,B9,"920,000",12/26/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,4, ,B3,8937 15TH   AVENUE, ,11228,2, -   ,2,"1,740","1,674",1960,1,B3, -   ,2/26/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,4, ,B3,8937 15TH   AVENUE, ,11228,2, -   ,2,"1,740","1,674",1960,1,B3, -   ,2/26/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,87, ,B1,317 BAY 10TH STREET, ,11228,2, -   ,2,"1,933","1,860",1955,1,B1, -   ,5/4/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,87, ,B1,317 BAY 10TH STREET, ,11228,2, -   ,2,"1,933","1,860",1955,1,B1, -   ,2/10/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,91, ,B1,307 BAY 10TH   STREET, ,11228,2, -   ,2,"1,933","1,860",1955,1,B1,"990,000",3/10/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,96, ,B3,297 BAY 10TH   STREET, ,11228,2, -   ,2,"1,740","1,629",1955,1,B3,"960,000",8/1/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,135, ,B2,284 BAY 11TH STREET, ,11228,2, -   ,2,"5,800","2,715",1901,1,B2, -   ,3/30/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,167, ,B1,321 BAY 11TH STREET, ,11228,2, -   ,2,"2,301","2,128",1950,1,B1,"1,135,000",11/29/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,311, ,B3,340 BAY 10TH   STREET, ,11228,2, -   ,2,"1,740","1,876",1950,1,B3,"920,000",6/1/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,317, ,B3,352 BAY 10 STREET, ,11228,2, -   ,2,"2,742","1,870",1950,1,B3,"1,420,000",12/8/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6460,405, ,B1,277 BAY 10TH   STREET, ,11228,2, -   ,2,"1,901","1,662",1950,1,B1, -   ,6/15/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,103, ,B3,255 BAY 14TH   STREET, ,11214,2, -   ,2,"1,827","1,152",1930,1,B3,"930,000",1/11/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,224, ,B1,250 BAY 14TH   STREET, ,11214,2, -   ,2,"1,746","1,890",1940,1,B1, -   ,3/23/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,227, ,B9,8941 16TH AVENUE, ,11214,2, -   ,2,"2,017","1,240",1940,1,B9,"835,000",5/22/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6461,276, ,B3,263 BAY 13TH STREET, ,11214,2, -   ,2,"1,649",928,1940,1,B3, -   ,3/10/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6462,26, ,B1,8846 BAY 16TH, ,11214,2, -   ,2,"1,646","2,982",1960,1,B1, -   ,7/27/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6462,32, ,B9,8860 BAY 16TH   STREET, ,11214,2, -   ,2,"1,937","2,280",1960,1,B9,"980,000",9/25/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6462,139, ,B9,8880 BAY 16TH STREET, ,11214,2, -   ,2,"1,920","2,280",1960,1,B9, -   ,5/11/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6463,66, ,B1,8868 18TH   AVENUE, ,11214,2, -   ,2,"1,708","1,320",1950,1,B1,"975,000",9/14/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6463,82, ,B1,8906 18TH   AVENUE, ,11214,2, -   ,2,"1,780","1,320",1950,1,B1,"970,000",1/29/2018
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6463,112, ,B1,8885 18TH AVE, ,11214,2, -   ,2,"1,820","1,320",1950,1,B1, -   ,9/16/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6464,101, ,B3,317 BAY 20TH STREET, ,11214,2, -   ,2,"2,562","1,561",1945,1,B3,"150,000",5/19/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6464,110, ,B3,293 BAY 20 ST, ,11214,2, -   ,2,"1,745","1,782",1940,1,B3,"880,000",12/21/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6464,119, ,B1,275 BAY 20TH   STREET, ,11214,2, -   ,2,"1,938","1,650",1940,1,B1, -   ,3/30/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6464,159, ,B3,8874 19TH AVENUE, ,11214,2, -   ,2,"1,547","1,584",1940,1,B3, -   ,4/20/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,7, ,B9,242 BAY 22ND   STREET, ,11214,2, -   ,2,"2,127","1,652",1940,1,B9,"882,500",12/1/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,18, ,B9,274 BAY 22ND STREET, ,11215,2, -   ,2,"3,147","1,888",1940,1,B9,"995,000",11/27/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,24, ,B9,1934 20TH DRIVE, ,11214,2, -   ,2,"1,804","1,652",1940,1,B9,1,8/23/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,30, ,B9,1950 20TH   DRIVE, ,11214,2, -   ,2,"2,090","1,652",1940,1,B9, -   ,9/28/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,86, ,B3,8861 19TH   AVENUE, ,11214,2, -   ,2,"1,547","1,320",1940,1,B3,"750,000",7/5/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6465,90, ,B3,8853 19TH AVENUE, ,11214,2, -   ,2,"1,740","1,782",1940,1,B3, -   ,4/14/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6466,25, ,B9,8832 20TH   AVENUE, ,11214,2, -   ,2,"2,182","1,869",1945,1,B9,"952,000",7/26/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6468,4, ,B9,8882 20TH   AVENUE, ,11214,2, -   ,2,"1,980","1,993",1945,1,B9,"740,000",12/14/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6468,15, ,B9,8914 20TH AVENUE, ,11214,2, -   ,2,"2,280","1,993",1945,1,B9, -   ,11/18/2017
3,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,1,6366,13, ,C0,8665 17 AVENUE, ,11214,3, -   ,3,"1,933","2,880",1920,1,C0,"990,000",3/3/2017
3,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,1,6370,85, ,C0,78 BAY 20TH STREET, ,11214,3, -   ,3,"2,978","3,456",1930,1,C0, -   ,6/27/2017
3,BATH BEACH,03 THREE FAMILY DWELLINGS                  ,1,6372,40, ,C0,8623 19TH   AVENUE, ,11214,3, -   ,3,"3,867","3,277",1930,1,C0, -   ,5/11/2017
